split,threshold,precision,recall
val_cc,1.000000,1.000000,0.000206
val_cc,1.000000,1.000000,0.000618
val_cc,1.000000,1.000000,0.000824
val_cc,1.000000,1.000000,0.001853
val_cc,1.000000,1.000000,0.002059
val_cc,0.999999,1.000000,0.003088
val_cc,0.999999,1.000000,0.004118
val_cc,0.999999,1.000000,0.005147
val_cc,0.999999,1.000000,0.006588
val_cc,0.999999,1.000000,0.007000
val_cc,0.999999,1.000000,0.008030
val_cc,0.999999,1.000000,0.008441
val_cc,0.999999,1.000000,0.010089
val_cc,0.999998,1.000000,0.012971
val_cc,0.999998,1.000000,0.014618
val_cc,0.999998,1.000000,0.015853
val_cc,0.999998,1.000000,0.017501
val_cc,0.999998,1.000000,0.019354
val_cc,0.999998,1.000000,0.020177
val_cc,0.999998,1.000000,0.021618
val_cc,0.999998,1.000000,0.023060
val_cc,0.999997,1.000000,0.024501
val_cc,0.999997,1.000000,0.025736
val_cc,0.999997,1.000000,0.026971
val_cc,0.999997,1.000000,0.028824
val_cc,0.999997,1.000000,0.030471
val_cc,0.999997,1.000000,0.032324
val_cc,0.999997,1.000000,0.033972
val_cc,0.999997,1.000000,0.035619
val_cc,0.999997,1.000000,0.037266
val_cc,0.999996,1.000000,0.037883
val_cc,0.999996,1.000000,0.038913
val_cc,0.999996,1.000000,0.039736
val_cc,0.999996,1.000000,0.041178
val_cc,0.999996,1.000000,0.041795
val_cc,0.999996,1.000000,0.042619
val_cc,0.999996,1.000000,0.043854
val_cc,0.999996,1.000000,0.044884
val_cc,0.999995,1.000000,0.045501
val_cc,0.999995,1.000000,0.047148
val_cc,0.999995,1.000000,0.048178
val_cc,0.999995,1.000000,0.049001
val_cc,0.999995,1.000000,0.050649
val_cc,0.999995,1.000000,0.051060
val_cc,0.999995,1.000000,0.052296
val_cc,0.999995,1.000000,0.053119
val_cc,0.999995,1.000000,0.054355
val_cc,0.999994,1.000000,0.054972
val_cc,0.999994,1.000000,0.055590
val_cc,0.999994,1.000000,0.056413
val_cc,0.999994,1.000000,0.057443
val_cc,0.999994,1.000000,0.057855
val_cc,0.999994,1.000000,0.058472
val_cc,0.999994,1.000000,0.059502
val_cc,0.999994,1.000000,0.060943
val_cc,0.999993,1.000000,0.062796
val_cc,0.999993,1.000000,0.064237
val_cc,0.999993,1.000000,0.065884
val_cc,0.999993,1.000000,0.068561
val_cc,0.999993,1.000000,0.070002
val_cc,0.999993,1.000000,0.071443
val_cc,0.999993,1.000000,0.073708
val_cc,0.999993,1.000000,0.075149
val_cc,0.999992,1.000000,0.076385
val_cc,0.999992,1.000000,0.078238
val_cc,0.999992,1.000000,0.079885
val_cc,0.999992,1.000000,0.080502
val_cc,0.999992,1.000000,0.082149
val_cc,0.999992,1.000000,0.083179
val_cc,0.999992,1.000000,0.084208
val_cc,0.999992,1.000000,0.085238
val_cc,0.999992,1.000000,0.086885
val_cc,0.999991,1.000000,0.087297
val_cc,0.999991,1.000000,0.088532
val_cc,0.999991,1.000000,0.090385
val_cc,0.999991,1.000000,0.091826
val_cc,0.999991,1.000000,0.092238
val_cc,0.999991,1.000000,0.092856
val_cc,0.999991,1.000000,0.093885
val_cc,0.999991,1.000000,0.095120
val_cc,0.999990,1.000000,0.095944
val_cc,0.999990,1.000000,0.097179
val_cc,0.999990,1.000000,0.098003
val_cc,0.999990,1.000000,0.099032
val_cc,0.999990,1.000000,0.099856
val_cc,0.999990,1.000000,0.101297
val_cc,0.999990,1.000000,0.101915
val_cc,0.999990,1.000000,0.102738
val_cc,0.999990,1.000000,0.103562
val_cc,0.999989,1.000000,0.105415
val_cc,0.999989,1.000000,0.105827
val_cc,0.999989,1.000000,0.107474
val_cc,0.999989,1.000000,0.108503
val_cc,0.999989,1.000000,0.109739
val_cc,0.999989,1.000000,0.110562
val_cc,0.999989,1.000000,0.112209
val_cc,0.999989,1.000000,0.113445
val_cc,0.999988,1.000000,0.114062
val_cc,0.999988,1.000000,0.115298
val_cc,0.999988,1.000000,0.115709
val_cc,0.999988,1.000000,0.116739
val_cc,0.999988,1.000000,0.118386
val_cc,0.999988,1.000000,0.118798
val_cc,0.999988,1.000000,0.119621
val_cc,0.999988,1.000000,0.120651
val_cc,0.999987,1.000000,0.122298
val_cc,0.999987,1.000000,0.122915
val_cc,0.999987,1.000000,0.123739
val_cc,0.999987,1.000000,0.124151
val_cc,0.999987,1.000000,0.124768
val_cc,0.999987,1.000000,0.126004
val_cc,0.999987,1.000000,0.126415
